Keyword,Expected,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
suleng,sulông,0.92,4,1.00,1.00,1.00
sukee,sukèe,0.91,1,1.00,1.00,1.00
sukarela,sukarèla,0.96,1,1.00,1.00,1.00
sugot,sugôt,0.91,1,1.00,1.00,1.00
sudep,sudép,0.91,1,1.00,1.00,1.00
strop,strôp,0.91,1,1.00,1.00,1.00
sosah,sôsah,0.88,1,1.00,1.00,1.00
sop,silophôn,0.81,7,1.00,1.00,1.00
soneta,sonèta,0.92,1,1.00,1.00,1.00
sohsah,sôhsah,0.90,1,1.00,1.00,1.00
soh,silophôn,0.81,5,1.00,1.00,1.00
skema,skèma,0.89,1,1.00,1.00,1.00
siribee,siribèe,0.95,1,1.00,1.00,1.00
sereutoh,sereutôh,0.96,1,1.00,1.00,1.00
sirep,sirép,0.91,1,1.00,1.00,1.00
sirene,sikureuengplôh,0.85,7,1.00,1.00,1.00
sipre,sipré,0.92,2,1.00,1.00,1.00
sipot,sipôt,0.91,1,1.00,1.00,1.00
siploh,siplôh,0.93,1,1.00,1.00,1.00
singkee,singkèe,0.95,1,1.00,1.00,1.00
singet,singèt,0.93,1,1.00,1.00,1.00
sinde,sindé,0.92,1,1.00,1.00,1.00
simeureulet,simeureulét,0.97,1,1.00,1.00,1.00
silophon,silophôn,0.96,1,1.00,1.00,1.00
sikureuengploh,sikureuengplôh,0.98,1,1.00,1.00,1.00
sikrop,sikrôp,0.93,1,1.00,1.00,1.00
siklep-siklap,siklép-siklap,0.97,1,1.00,1.00,1.00
sijudo,sijudô,0.94,1,1.00,1.00,1.00
sibandeng,sibandéng,0.96,1,1.00,1.00,1.00
seurene,seurenè,0.95,1,1.00,1.00,1.00
seurumpet,seurumpét,0.96,1,1.00,1.00,1.00
seureleng,seureulông,0.96,1,1.00,1.00,1.00
seureulong,seureulông,0.97,1,1.00,1.00,1.00
seurabee,seurabèe,0.96,1,1.00,1.00,1.00
seupot,seupôt,0.93,2,1.00,1.00,1.00
seupoh,seupôh,0.93,1,1.00,1.00,1.00
seupet,seupôt,0.93,1,1.00,1.00,1.00
seunuson,seunusôn,0.96,1,1.00,1.00,1.00
seunungkee,seunungkèe,0.97,1,1.00,1.00,1.00
seunte,seunté,0.94,2,1.00,1.00,1.00
seuneuron,seuneurôn,0.96,1,1.00,1.00,1.00
seuneupet,seuneupét,0.96,1,1.00,1.00,1.00
seuneulhong,seuneulhông,0.97,1,1.00,1.00,1.00
seunareng,seunaréng,0.96,1,1.00,1.00,1.00
seunambong,seunambông,0.97,1,1.00,1.00,1.00
seunalop,seunalôp,0.96,3,1.00,1.00,1.00
seunalen,seunalèn,0.96,2,1.00,1.00,1.00
seumulet,seumulét,0.96,1,1.00,1.00,1.00
seumporna,seumpôrna,0.96,1,1.00,1.00,1.00
seumpet,seumpét,0.95,1,1.00,1.00,1.00
seumike,seumiké,0.95,1,1.00,1.00,1.00
seumeulhoh,seumeulhôh,0.97,1,1.00,1.00,1.00
seumen,seumèn,0.93,2,1.00,1.00,1.00
seumbo,seumbô,0.94,1,1.00,1.00,1.00
seumateh,seumatéh,0.96,1,1.00,1.00,1.00
seumate,seumaté,0.95,2,1.00,1.00,1.00
seuliseh,seuliséh,0.96,1,1.00,1.00,1.00
seulimeng,seulimèng,0.96,1,1.00,1.00,1.00
seulidek,seulidék,0.96,1,1.00,1.00,1.00
seulangkot,seulangkôt,0.97,2,1.00,1.00,1.00
seudeh,seudéh,0.93,2,1.00,1.00,1.00
seubaroh,seubarôh,0.96,1,1.00,1.00,1.00
seubaro,seubarô,0.95,1,1.00,1.00,1.00
sep,seupôt,0.87,1,1.00,1.00,1.00
sente,seuneupét,0.80,7,1.00,1.00,1.00
seng,sèng,0.85,10,1.00,1.00,1.00
sel,seunalôp,0.83,4,1.00,1.00,1.00
seksa,séksa,0.88,1,1.00,1.00,1.00
sege,,0.00,0,1.00,1.00,1.00
sayen,sayén,0.91,1,1.00,1.00,1.00
sawo,sawô,0.88,1,1.00,1.00,1.00
sate,saté,0.88,4,1.00,1.00,1.00
sarong,sarông,0.92,2,1.00,1.00,1.00
sareng,sarông,0.92,2,1.00,1.00,1.00
sare,saré,0.88,4,1.00,1.00,1.00
santon,santôn,0.93,1,1.00,1.00,1.00
sanjong,sanjông,0.94,1,1.00,1.00,1.00
sanggop,sanggôp,0.95,1,1.00,1.00,1.00
sanggoi,sanggôi,0.95,1,1.00,1.00,1.00
sane,sanè,0.88,2,1.00,1.00,1.00
sandewara,sandéwara,0.96,1,1.00,1.00,1.00
samporeuna,sampôreuna,0.96,1,1.00,1.00,1.00
sampoh,sampôh,0.93,3,1.00,1.00,1.00
saloran,salôran,0.93,2,1.00,1.00,1.00
salop,salôp,0.91,2,1.00,1.00,1.00
salen,salén,0.91,4,1.00,1.00,1.00
saleh,salèh,0.91,3,1.00,1.00,1.00
salee,salèe,0.91,5,1.00,1.00,1.00
saket,sakét,0.91,1,1.00,1.00,1.00
sagop,sagôp,0.91,2,1.00,1.00,1.00
sagee,sagèe,0.91,1,1.00,1.00,1.00
saengan,saéngan,0.92,2,1.00,1.00,1.00
sabong,sabông,0.92,2,1.00,1.00,1.00
sabon,sabôn,0.91,2,1.00,1.00,1.00
sabe,sabé,0.88,3,1.00,1.00,1.00
s'en,s'èn,0.87,1,1.00,1.00,1.00
rusok,rusôk,0.91,1,1.00,1.00,1.00
runtoh,runtôh,0.93,1,1.00,1.00,1.00
rumpet,rumpét,0.93,1,1.00,1.00,1.00
rumeh,rumèh,0.91,1,1.00,1.00,1.00
rumbee,rumbèe,0.93,2,1.00,1.00,1.00
rujee,rujèe,0.91,1,1.00,1.00,1.00
roket,rokèt,0.91,1,1.00,1.00,1.00
roh,rôh,0.80,10,1.00,1.00,1.00
ro,rokèt,0.84,6,1.00,1.00,1.00
rioh,riôh,0.87,2,1.00,1.00,1.00
rincong,rincông,0.94,1,1.00,1.00,1.00
rhot,rhôt,0.87,5,1.00,1.00,1.00
rhoi,rhôi,0.87,3,1.00,1.00,1.00
rhem,rhém,0.87,1,1.00,1.00,1.00
reutek,reuték,0.93,2,1.00,1.00,1.00
reuruntoh,reuruntôh,0.96,1,1.00,1.00,1.00
reuoh,reuôh,0.91,2,1.00,1.00,1.00
reuncong,reuncông,0.96,2,1.00,1.00,1.00
reudok,reudôk,0.93,2,1.00,1.00,1.00
reubot,reubôt,0.93,1,1.00,1.00,1.00
reubong,reubông,0.94,2,1.00,1.00,1.00
reuboh,reubôh,0.93,1,1.00,1.00,1.00
