Keyword,Expected,Algorithm Accuracy Result,Priority Number,Recommendation Accuracy Result
leungkong,leungkông,0.96,1,1.00
leumbeng,leumbéng,0.96,2,0.90
leubo,leubô,0.92,1,1.00
letnan,lètnan,0.90,1,1.00
lestrek,léstrék,0.83,2,0.90
leng,leungkông,0.85,7,0.40
lem,leumbôt,0.85,9,0.20
le,leubô,0.84,8,0.30
layoh,layôh,0.91,1,1.00
laot,laôt,0.87,3,0.80
langsong,langsông,0.96,2,0.90
langet,langèt,0.93,1,1.00
landok,landôk,0.93,3,0.80
lampoh,lampôh,0.93,2,0.90
lambayong,lambayông,0.96,1,1.00
lalorat,lalôrat,0.93,2,0.90
lalo,lalô,0.88,9,0.20
,,0.00,0,0.00
laklem,laklém,0.93,1,1.00
lahe,lahèe,0.95,1,1.00
lagot,lagôt,0.91,1,1.00
lagee,lagèe,0.91,3,0.80
ladom,ladôm,0.91,1,1.00
ladem,ladôm,0.91,2,0.90
labo,labô,0.88,2,0.90
la'eh,la'èh,0.91,1,1.00
kutep,kutép,0.91,1,1.00
kunengan,kunèngan,0.94,1,1.00
kuncop,kuncôp,0.93,1,1.00
kulet,kulét,0.91,3,0.80
kueh,kuéh,0.87,6,0.50
kude,kudé,0.88,1,1.00
kualitet,kualitét,0.96,1,1.00
etnologi,ètnologi,0.92,1,1.00
etimologi,ètimologi,0.93,1,1.00
eseutilah,èseutilah,0.93,1,1.00
eselon,èsèlon,0.78,4,0.70
enseueh,énseueh,0.90,2,0.90
embe,seumbô,0.81,2,0.90
lalem,lalèe,0.91,5,0.60
lakee,lakèe,0.91,1,1.00
lahee,lahèe,0.91,1,1.00
laen,laén,0.87,4,0.70
kutop,kutôp,0.91,3,0.80
kurek,kurék,0.91,1,1.00
kupong,kupông,0.92,2,0.90
kukoh,kukôh,0.91,1,1.00
kudok,kudôk,0.91,1,1.00
kuarto,kuartô,0.94,1,1.00
krot,krôt,0.87,5,0.60
kronomete,kronomètè,0.93,1,1.00
krek,krèk,0.87,1,1.00
kreh,kréh,0.87,2,0.90
krangkeng,krangkèng,0.96,1,1.00
korset,korsèt,0.93,1,1.00
kontrasepsi,kontrasèpsi,0.97,1,1.00
kontingen,kontingèn,0.96,1,1.00
konsep,konsèp,0.93,2,0.90
kok,korsèt,0.87,4,0.70
klep,klèp,0.87,1,1.00
kiree,kirèe,0.91,1,1.00
keurubet,keurubét,0.96,1,1.00
keureukon,keureukôn,0.96,1,1.00
keuphon,keuphôn,0.95,1,1.00
keumirem,keumirém,0.96,1,1.00
keumawe,keumawé,0.95,1,1.00
keudee,keudèe,0.93,1,1.00
komponen,komponèn,0.96,1,1.00
kom,komponèn,0.85,8,0.30
kolonen,kolonèn,0.95,1,1.00
koeisien,koèisièn,0.87,1,1.00
kiroh,kirôh,0.91,1,1.00
kirem,kirèe,0.91,1,1.00
khem,khém,0.87,2,0.90
keurusong,keurusông,0.96,1,1.00
keureuleng,keureuléng,0.97,1,1.00
keupong,keupông,0.94,2,0.90
keupeng,keupéng,0.94,2,0.90
keunyeh,keunyèh,0.95,1,1.00
keundo,keundô,0.94,1,1.00
keulileng,keuliléng,0.96,1,1.00
keuleudee,keuleudèe,0.96,1,1.00
keulabee,keulabèe,0.96,1,1.00
kereta,kerèta,0.92,1,1.00
kemah,kèmah,0.88,1,1.00
keju,kèju,0.85,4,0.70
kayee,kayèe,0.91,1,1.00
kawoh,kawôh,0.91,2,0.90
kaset,kasèt,0.91,2,0.90
karonya,karônya,0.93,1,1.00
kareubet,kareubét,0.96,1,1.00
kapiten,kapitèn,0.95,1,1.00
kaphe,kaphô,0.92,1,1.00
kanto,kantô,0.92,2,0.90
kameng,kamèng,0.92,2,0.90
kadet,kadèt,0.91,2,0.90
kabupaten,kabupatèn,0.96,1,1.00
kabinet,kabinèt,0.95,2,0.90
kabaret,kabarèt,0.95,1,1.00
jujor,jujôr,0.91,1,1.00
jok,jôk,0.80,2,0.90
jilet,jilét,0.91,1,1.00
jeulamee,jeulamèe,0.96,1,1.00
eumbon,eumbôn,0.93,1,1.00
,,0.00,0,0.00
keker,keumirém,0.85,7,0.40
keh,keuphôn,0.85,3,0.80
kayem,kayém,0.91,1,1.00
kawom,kawôm,0.91,1,1.00
kawen,kawèn,0.91,2,0.90
katon,katôn,0.91,2,0.90
kaso,kasô,0.88,1,1.00
kapho,kaphô,0.92,1,1.00
kandongan,kandôngan,0.96,1,1.00
kadot,kadèt,0.91,1,1.00
jurong,jurông,0.92,1,1.00
juree,jurèe,0.91,1,1.00
jundrong,jundrông,0.96,1,1.00
jho,jhô,0.82,1,1.00
jeuoh,jeuôh,0.91,1,1.00
jeunamee,jeunamèe,0.96,1,1.00
jeuee,jeuèe,0.91,9,0.20
jep,jép,0.80,7,0.40
jen,jeunamèe,0.83,4,0.70
jayeh,jayéh,0.91,1,1.00
jarom,jarôm,0.91,2,0.90
jareueng,jaréueng,0.94,1,1.00
jareng,jaréueng,0.94,2,0.90
jantong,jantông,0.94,1,1.00
jangket,jangkét,0.95,2,0.90
janggot,janggôt,0.95,1,1.00
janeng,janéng,0.92,1,1.00
jamprong,jamprông,0.96,1,1.00
jampok,jampôk,0.93,3,0.80
jamoe,jamôe,0.91,2,0.90
jambo,jambô,0.92,1,1.00
jalo,jalô,0.88,1,1.00
jagong,jagông,0.92,1,1.00
ipoh,ipôh,0.87,2,0.90
ileh,iléh,0.87,3,0.80
ikot,ikôt,0.87,1,1.00
hukoman,hukôman,0.93,1,1.00
homoseks,homosèks,0.96,1,1.00
hoi,hôi,0.80,2,0.90
hidrolik,hidrôlik,0.95,1,1.00
helikopter,hèlikopter,0.94,1,1.00
hekeuta,hèkeuta,0.91,3,0.80
hek,hèkeuta,0.83,1,1.00
harom,harôm,0.91,2,0.90
haroh,harôh,0.91,3,0.80
etnografi,ètnografi,0.93,1,1.00
haloh,haléh,0.91,1,1.00
haleh,haléh,0.91,2,0.90
jadeh,jadèh,0.91,2,0.90
jabep,jabép,0.91,2,0.90
itek,iték,0.87,3,0.80
ireh,iréh,0.87,1,1.00
ipok,ipôk,0.87,2,0.90
implensa,implènsa,0.95,1,1.00
ile,ilé,0.82,9,0.20
iklem,iklém,0.91,1,1.00
ijo,ijô,0.82,1,1.00
idong,idông,0.89,3,0.80
hukom,hukôm,0.91,1,1.00
hotel,hotèl,0.91,1,1.00
himbee,himbèe,0.93,1,1.00
hemat,hèmat,0.88,2,0.90
helem,hèlem,0.88,1,1.00
hebat,hèbat,0.88,1,1.00
hase,hasé,0.88,3,0.80
haro-hara,harô-hara,0.95,1,1.00
hambo,hambô,0.92,1,1.00
hader,hadér,0.91,3,0.80
esmenen,sampôreuna,0.82,10,0.10
gutee,gutèe,0.91,1,1.00
guree,gurèe,0.91,2,0.90
eseukrem,èseukrém,0.83,2,0.90
,,0.00,0,0.00
endatu,éndatu,0.89,1,1.00
emlak,émlak,0.87,2,0.90
eleumee,éleumèe,0.81,6,0.50
eleuham,éleuham,0.90,1,1.00
elektron,èlèktron,0.83,2,0.90
eleh,éleuham,0.86,2,0.90
ekspor,èkspor,0.89,1,1.00
eklektik,eklèktik,0.94,1,1.00
ek,eklèktik,0.80,1,1.00
ek,eklèktik,0.80,1,1.00
,,0.00,0,0.00
,,0.00,0,0.00
edisi,èdisi,0.87,1,1.00
'et,'èt,0.80,4,0.70
'emblem,'èmblèm,0.83,1,1.00
duson,dusôn,0.91,1,1.00
dumpet,dumpèt,0.93,2,0.90
gureng,guréng,0.92,1,1.00
gunteng,gunténg,0.94,1,1.00
gumbok,gumbôk,0.93,2,0.90
gulong,gulông,0.92,2,0.90
gulee,gulée,0.91,1,1.00
gule,gulée,0.95,1,1.00
gukee,gukée,0.91,1,1.00
gugop,gugôp,0.91,1,1.00
grek,grèk,0.87,2,0.90
gorden,gordèn,0.93,1,1.00
gogah,gôgah,0.88,1,1.00
go-go,gô-gô,0.76,9,0.20
glong,glông,0.89,1,1.00
gleh,gléh,0.87,3,0.80
ginseng,ginsèng,0.94,1,1.00
gileng,giléng,0.92,1,1.00
gigeh,gigèh,0.91,2,0.90
geureupoh,geureupôh,0.96,1,1.00
geuntot,geuntôt,0.95,2,0.90
geunteng,geunténg,0.96,1,1.00
geunaseh,geunaséh,0.96,1,1.00
geumaseh,geumaséh,0.96,1,1.00
geuleumbong,geuleumbông,0.97,1,1.00
geometris,géométris,0.87,1,1.00
geographis,géographis,0.94,1,1.00
gayep,gayép,0.91,1,1.00
gareh,garéh,0.91,3,0.80
ganje,ganjé,0.92,2,0.90
gandom,gandôm,0.93,1,1.00
gampong,gampông,0.94,1,1.00
gamet,gamèt,0.91,1,1.00
gadoh,gadôh,0.91,3,0.80
gabong,gabông,0.92,1,1.00
g'eng-g'ong,g'éng-g'ong,0.95,1,1.00
geuten,geutèn,0.93,1,1.00
geunulong,geunulông,0.96,1,1.00
geumadee,geumadèe,0.96,1,1.00
geudong,geudông,0.94,1,1.00
geologi,ètnologi,0.78,2,0.90
geodesi,géodési,0.83,1,1.00
gayong,gayông,0.92,1,1.00
gaseng,gaséng,0.92,2,0.90
gaseh,gaséh,0.91,2,0.90
garo,garô,0.88,2,0.90
gaon,gaôn,0.87,3,0.80
gamlomlam,gamlômlam,0.96,1,1.00
gambe,gambé,0.92,2,0.90
gadeng,gadéng,0.92,1,1.00
gaboh,gabôh,0.91,1,1.00
euntong,euntông,0.94,1,1.00
eungkot,eungkôt,0.95,1,1.00
duane,duanè,0.92,1,1.00
dompet,dompèt,0.93,1,1.00
do'a,dô'a,0.85,1,1.00
dhoi,dhôi,0.87,2,0.90
deumpoi,deumpôi,0.95,1,1.00
desya,dèsya,0.88,1,1.00
Desember,Desèmbèr,0.88,1,1.00
denden,meudeungông,0.85,2,0.90
dayong,dayông,0.92,1,1.00
damee,damée,0.91,1,1.00
cungke,cungké,0.94,1,1.00
cumbong,cumbông,0.94,1,1.00
culek,culék,0.91,1,1.00
donya,dônya,0.88,1,1.00
disket,diskèt,0.93,1,1.00
dhot,dhôt,0.87,4,0.70
deutek,deutèk,0.93,2,0.90
derek,deutèk,0.86,2,0.90
dek,dèk,0.80,9,0.20
debet,debèt,0.91,2,0.90
darohaka,darôhaka,0.94,1,1.00
dalong,dalông,0.92,1,1.00
cungkeh,cungkèh,0.95,1,1.00
cumeh,cumèh,0.91,1,1.00
cuko,cukô,0.88,3,0.80
cukeh,cukèe,0.91,1,1.00
cukee,cukèe,0.91,1,1.00
croh,crôh,0.87,2,0.90
cre-bre,cré-bré,0.85,1,1.00
cre,cré,0.82,2,0.90
cr'ek,cr'èk,0.91,1,1.00
con,côn,0.80,8,0.30
ciret,cirét,0.91,1,1.00
cicem,cicém,0.91,1,1.00
ceureudek,ceureudék,0.96,1,1.00
ceumarot,ceumarôt,0.96,1,1.00
cetak,cètak,0.88,2,0.90
ceng,céng,0.85,1,1.00
cedaga,cèdaga,0.90,1,1.00
catetan,catètan,0.93,1,1.00
cangkoi,cangkôi,0.95,2,0.90
canden,candén,0.93,1,1.00
calam-malom,calam-malôm,0.97,1,1.00
cagee,cagée,0.91,1,1.00
cae,caé,0.82,6,0.50
caboi,cabôi,0.91,2,0.90
coh,côh,0.80,9,0.20
cilet,cilèt,0.91,1,1.00
chen,chèn,0.87,1,1.00
ceureumen,ceureumèn,0.96,1,1.00
ceureulong,ceureulông,0.97,1,1.00
ceurapee,ceurapèe,0.96,1,1.00
ceunulek,ceunulék,0.96,1,1.00
ceundrong,ceundrông,0.96,1,1.00
ceulop,ceulôp,0.93,1,1.00
ceukong,ceukông,0.94,3,0.80
ceuken,ceukén,0.93,3,0.80
cet,cèt,0.80,5,0.60
Total Accuracy Results:,,914.73,,918.70
Total Percentage Accuracy:,,91.5%,,91.9%
