No,Keyword,Expectation,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
464,peudamee,peudamèe,0.89,1,0.10,0.10,1.00
465,peucre-bre,peucré-bré,0.83,1,0.10,0.10,1.00
466,peucoh-coh,peucôh-côh,0.83,1,0.10,0.10,1.00
467,peucaye,peucayé,0.88,1,0.60,0.60,1.00
468,peuayon-ayon,peuayôn-ayôn,0.86,1,0.10,0.10,1.00
469,peuayon,peuayôn,0.88,1,0.70,0.70,1.00
470,peuaseng,peuaséng,0.89,1,0.30,0.30,1.00
471,peuase,peuasé,0.86,1,0.50,0.50,1.00
472,peuangen-angen,peuangèn-angèn,0.88,1,0.10,0.10,1.00
473,peuanco,peuancô,0.88,1,0.20,0.20,1.00
474,meunarek,meunarék,0.89,1,0.20,0.20,1.00
475,peuampon,peuampôn,0.89,1,0.70,0.70,1.00
476,peualoh,peualôh,0.88,1,1.00,1.00,1.00
477,peuagong,peuagông,0.89,1,0.80,0.80,1.00
478,peuabeh,peuabéh,0.88,1,0.40,0.40,1.00
479,petran,pètran,0.86,1,0.50,0.50,1.00
480,peteunah,péteunah,0.89,1,0.50,0.50,1.00
481,pesta,pèsta,0.83,1,0.20,0.20,1.00
482,pers'en,pers'èn,0.88,1,0.10,0.10,1.00
483,periskop,periskôp,0.89,1,0.10,0.10,1.00
484,peodal,pèodal,0.86,1,0.10,0.10,1.00
485,pentilasi,pèntilasi,0.90,1,0.10,0.10,1.00
486,peng,pèng,0.80,1,0.20,0.20,1.00
487,peh,péh,0.75,1,0.20,0.20,1.00
488,payong,payông,0.86,1,0.80,0.80,1.00
489,patoh,patôh,0.83,1,0.30,0.30,1.00
490,pateh,patôh,0.83,1,0.30,0.30,1.00
491,parlemen,parlemèn,0.89,1,0.20,0.20,1.00
492,parek,parék,0.83,1,0.20,0.20,1.00
493,pante,panté,0.83,1,0.40,0.40,1.00
494,pangulee,pangulèe,0.89,1,0.10,0.10,1.00
495,panggong,panggông,0.89,1,0.80,0.80,1.00
496,pancopet,pancopèt,0.89,1,0.10,0.10,1.00
497,palet,palét,0.83,1,0.40,0.40,1.00
498,paleng,palông,0.86,1,0.60,0.60,1.00
499,paleh,paléh,0.83,1,0.30,0.30,1.00
500,paket,pakèt,0.83,1,0.20,0.20,1.00
501,meulilet,meulilét,0.89,1,0.30,0.30,1.00
502,meulek,meulèk,0.86,1,0.30,0.30,1.00
503,meulapeh-lapeh,meulapéh-lapéh,0.88,1,0.10,0.10,1.00
504,meulakee,meulakèe,0.89,1,0.20,0.20,1.00
505,meulabo,meulabô,0.88,1,0.80,0.80,1.00
506,meuklep,meuklèp,0.88,1,0.20,0.20,1.00
507,meukilok-kilok,meukilôk-kilôk,0.88,1,0.30,0.30,1.00
508,meukeutupep,meukeutupèp,0.92,1,0.10,0.10,1.00
509,eunchok,eunchôk,0.88,1,0.10,0.10,1.00
510,pena,pèna,0.80,1,0.20,0.20,1.00
511,pe,pè,0.67,1,0.00,0.00,0.00
512,patot,patôt,0.83,1,0.20,0.20,1.00
513,patong,patông,0.86,1,0.70,0.70,1.00
514,patee,patèe,0.83,1,0.20,0.20,1.00
515,pasokan,pasôkan,0.88,1,0.10,0.10,1.00
516,paseh,pasèh,0.83,1,0.10,0.10,1.00
517,parot,parôt,0.83,1,0.30,0.30,1.00
518,pareksa,paréksa,0.88,1,0.20,0.20,1.00
519,panton,pantôn,0.86,2,0.60,0.60,1.00
520,pansion,pansiôn,0.88,1,0.60,0.60,1.00
521,pangkee,pangkèe,0.88,1,0.80,0.80,1.00
522,panggoi,panggôi,0.88,1,0.80,0.80,1.00
523,pangeran,pangèran,0.89,1,0.30,0.30,1.00
524,pamplet,pamplét,0.88,1,0.20,0.20,1.00
525,palong,palông,0.86,1,0.60,0.60,1.00
526,palem,palém,0.83,1,0.20,0.20,1.00
527,palee,palèe,0.83,1,0.50,0.50,1.00
528,pake,paké,0.80,1,0.20,0.20,1.00
529,pajoh,pajôh,0.83,1,0.10,0.10,1.00
530,pade,padé,0.80,1,0.20,0.20,1.00
531,pacok,pacôk,0.83,1,0.10,0.10,1.00
532,pabrek,pabrék,0.86,1,0.10,0.10,1.00
533,on,ôn,0.67,1,0.00,0.00,0.00
534,meukemah,meukèmah,0.89,1,0.40,0.40,1.00
535,meukawen,meukawén,0.89,1,0.20,0.20,1.00
536,meujuntee,meujuntèe,0.90,1,0.20,0.20,1.00
537,meuireng-ireng,meuiréng-iréng,0.88,1,0.20,0.20,1.00
538,meuikot,meuikôt,0.88,1,0.20,0.20,1.00
539,meuhoi,meuhôi,0.86,1,0.30,0.30,1.00
540,meugule,meugulé,0.88,1,0.50,0.50,1.00
541,mengreb,mengréb,0.88,1,0.10,0.10,1.00
542,meugeurupeng,meugeurupéng,0.92,1,0.10,0.10,1.00
543,meugampong,meugampông,0.91,1,1.00,1.00,1.00
544,meudrep-drep,meudrép-drép,0.86,1,0.10,0.10,1.00
545,meudesya,meudèsya,0.89,1,0.10,0.10,1.00
546,meucureh,meucuréh,0.89,1,0.10,0.10,1.00
547,meuceh,meucéh,0.86,1,0.20,0.20,1.00
548,meubeude,meubeudé,0.89,1,0.50,0.50,1.00
549,meuato,meuatô,0.86,1,0.70,0.70,1.00
550,meuase,meuasé,0.86,1,0.80,0.80,1.00
551,meuampong,meuampông,0.90,1,0.70,0.70,1.00
552,meuadee,meuadèe,0.88,1,0.60,0.60,1.00
553,meu'en-meu'en,meu'èn-meu'én,0.87,1,0.10,0.10,1.00
554,merek,mèrèk,0.71,1,0.10,0.10,1.00
555,men,mén,0.75,1,0.20,0.20,1.00
556,meja,mèja,0.80,1,0.20,0.20,1.00
557,meh,mèh,0.75,1,0.20,0.20,1.00
558,mbong,mbông,0.83,1,0.20,0.20,1.00
559,mateh,matéh,0.83,1,0.10,0.10,1.00
560,mate,maté,0.80,1,0.50,0.50,1.00
561,masineh,masinèh,0.88,1,0.10,0.10,1.00
562,orkeh,orkèh,0.83,1,0.10,0.10,1.00
563,ok,ôk,0.67,1,0.00,0.00,0.00
564,meujareng,meujaréng,0.90,1,0.20,0.20,1.00
565,meujanggot,meujanggôt,0.91,1,0.30,0.30,1.00
566,meujamee,meujamèe,0.89,1,0.20,0.20,1.00
567,meuikot-ikot,meuikôt-ikôt,0.86,1,0.20,0.20,1.00
568,meuhimpon,meuhimpôn,0.90,1,0.20,0.20,1.00
569,meugule-gule,meugulé-gulé,0.86,1,0.10,0.10,1.00
570,mengrop-grop,mengrôp-grôp,0.86,1,0.10,0.10,1.00
571,meugogo,meugôgô,0.78,1,0.40,0.40,1.00
572,meuglong,meuglông,0.89,1,0.40,0.40,1.00
573,meugandeng,meugandéng,0.91,1,0.40,0.40,1.00
574,meudroh,meudrôh,0.88,1,0.40,0.40,1.00
575,meudeungong,meudeungông,0.92,1,0.60,0.60,1.00
576,meucatet,meucatèt,0.89,1,0.10,0.10,1.00
577,meubulee,meubulèe,0.89,1,0.20,0.20,1.00
578,meuangkot,meuangkôt,0.90,1,0.50,0.50,1.00
579,meuampong-ampong,meuampông-ampông,0.89,1,0.10,0.10,1.00
580,meuabee,meuabèe,0.88,1,0.40,0.40,1.00
581,meu'en,meu'èn,0.86,1,0.20,0.20,1.00
582,mete,mètè,0.67,1,0.00,0.00,0.00
583,mentega,mentèga,0.88,1,0.20,0.20,1.00
584,melodi,mèlodi,0.86,1,0.10,0.10,1.00
585,Mee,Mèè,0.60,1,0.00,0.00,0.00
586,mee,mèe,0.75,1,0.10,0.10,1.00
587,mbon,mbôn,0.80,1,0.20,0.20,1.00
588,masen,masén,0.83,1,0.10,0.10,1.00
589,nyen,nyèn,0.80,1,0.20,0.20,1.00
590,naseb,naséb,0.83,1,0.20,0.20,1.00
591,musoh,musôh,0.83,1,0.30,0.30,1.00
592,musikben,musikbèn,0.89,1,0.10,0.10,1.00
593,mupalet,mupalét,0.88,1,0.40,0.40,1.00
594,munaph'ek,munaph'èk,0.90,1,0.20,0.20,1.00
595,mudek,mudèk,0.83,1,0.10,0.10,1.00
596,mubungkoh,mubungkôh,0.90,1,0.10,0.10,1.00
597,muboi-boi,mubôi-bôi,0.82,1,0.10,0.10,1.00
598,muble-ble,mublè-blé,0.82,1,0.10,0.10,1.00
599,mubeda,mubèda,0.86,1,0.20,0.20,1.00
600,mubalek,mubalék,0.88,1,0.30,0.30,1.00
601,mubae,mubèe,0.83,1,0.20,0.20,1.00
602,nyeh,nyèh,0.80,1,0.10,0.10,1.00
603,numboi,numbôi,0.86,1,0.10,0.10,1.00
604,neulet,neulét,0.86,1,0.30,0.30,1.00
605,nek,nèk,0.75,1,0.10,0.10,1.00
606,mustahe,mustahé,0.88,1,0.30,0.30,1.00
607,musem,musém,0.83,1,0.10,0.10,1.00
608,muphom,muphôm,0.86,1,0.10,0.10,1.00
609,mupake,mupaké,0.86,1,0.30,0.30,1.00
610,mungken,mungkén,0.88,1,0.30,0.30,1.00
611,mumee,mumèe,0.83,1,0.10,0.10,1.00
612,muleh,mulèh,0.83,1,0.10,0.10,1.00
613,mubulee,mubulèe,0.88,1,0.50,0.50,1.00
614,mublet-blet,mublét-blét,0.85,1,0.10,0.10,1.00
615,mubee,mubèe,0.83,1,0.20,0.20,1.00
616,mubareh,mubaréh,0.88,1,0.30,0.30,1.00
617,motel,motèl,0.83,1,0.10,0.10,1.00
618,modernisasi,modèrnisasi,0.92,1,0.10,0.10,1.00
619,milimete,milimètè,0.80,1,0.10,0.10,1.00
620,milek,milék,0.83,1,0.20,0.20,1.00
621,mewah,mèwah,0.83,1,0.20,0.20,1.00
622,meuurot,meuurôt,0.88,1,0.70,0.70,1.00
623,meuunyet,meuunyèt,0.89,1,0.20,0.20,1.00
624,meutumpok,meutumpôk,0.90,1,0.50,0.50,1.00
625,meutron,meutrôn,0.88,1,0.80,0.80,1.00
626,meuto-to,meutô-tô,0.80,1,0.20,0.20,1.00
627,meuthon,meuthôn,0.88,1,0.70,0.70,1.00
628,menteuot,menteuôt,0.89,1,0.10,0.10,1.00
629,meutapeh,meutapéh,0.89,1,0.30,0.30,1.00
630,meutanggoh,meutanggôh,0.91,1,0.60,0.60,1.00
631,mantel,mantèl,0.86,1,0.10,0.10,1.00
632,mando,mandô,0.83,1,0.10,0.10,1.00
633,mameh,maméh,0.83,1,0.20,0.20,1.00
634,malem,malém,0.83,1,0.30,0.30,1.00
635,malee,malèe,0.83,1,0.30,0.30,1.00
636,mabok,mabôk,0.83,1,0.30,0.30,1.00
637,lusen,lusèn,0.83,1,0.10,0.10,1.00
638,moderen,modèrèn,0.78,1,0.20,0.20,1.00
639,misee,misèe,0.83,1,0.10,0.10,1.00
640,minet,minèt,0.83,1,0.10,0.10,1.00
641,milion,miliôn,0.86,1,0.20,0.20,1.00
642,mikroskop,mikrôskôp,0.82,1,0.10,0.10,1.00
643,meuturot-turot,meuturôt-turôt,0.88,1,0.20,0.20,1.00
644,meutudong,meutudông,0.90,1,0.30,0.30,1.00
645,meutitep,meutitèp,0.89,1,0.10,0.10,1.00
646,meutaroh,meutarôh,0.89,1,0.60,0.60,1.00
647,meutaot,meutaôt,0.88,1,0.50,0.50,1.00
648,meusyedara,meusyédara,0.91,1,0.10,0.10,1.00
649,meusurot,meusurôt,0.89,1,0.60,0.60,1.00
650,Maret,Marèt,0.83,1,0.20,0.20,1.00
651,manyet,manyèt,0.86,1,0.10,0.10,1.00
652,mantega,mantèga,0.88,1,0.30,0.30,1.00
653,mangkong,mangkông,0.89,1,0.60,0.60,1.00
654,maneh,manéh,0.83,1,0.20,0.20,1.00
655,malot,malôt,0.83,1,0.10,0.10,1.00
656,malee-malee,malèe-malèe,0.85,1,0.10,0.10,1.00
657,lungkee,lungkèe,0.88,1,0.40,0.40,1.00
658,lunceng,luncéng,0.88,1,0.40,0.40,1.00
659,lumpok,lumpôk,0.86,1,0.30,0.30,1.00
660,lumbem,lumbèm,0.86,1,0.10,0.10,1.00
661,luloh,lulôh,0.83,1,0.10,0.10,1.00
662,lukesan,lukésan,0.88,1,0.10,0.10,1.00
663,loteng,lotèng,0.86,1,0.10,0.10,1.00
664,lop,lôp,0.75,1,0.10,0.10,1.00
665,long,lông,0.80,1,0.50,0.50,1.00
666,lon,lôn,0.75,1,0.20,0.20,1.00
667,logat,lôgat,0.83,1,0.10,0.10,1.00
668,lisek,lisék,0.83,1,0.10,0.10,1.00
669,lipeh,lipéh,0.83,1,0.20,0.20,1.00
670,lingkok,lingkôk,0.88,1,0.40,0.40,1.00
671,linggeh,linggéh,0.88,1,0.10,0.10,1.00
672,lilet,lilét,0.83,1,0.10,0.10,1.00
673,lilen,lilèn,0.83,1,0.10,0.10,1.00
674,Ihon,Ihôn,0.80,1,0.40,0.40,1.00
675,leunde,leundé,0.86,1,0.30,0.30,1.00
676,leumbot,leumbôt,0.88,1,0.50,0.50,1.00
677,leuho,leuhô,0.83,1,0.40,0.40,1.00
678,leugot,leugôt,0.86,2,0.40,0.40,1.00
679,leubeng,leubéng,0.88,1,1.00,1.00,1.00
680,leubeh,leubèh,0.86,1,0.40,0.40,1.00
681,let,lét,0.75,2,0.30,0.30,1.00
682,lensa,lènsa,0.83,1,0.10,0.10,1.00
683,leklang,léklang,0.88,1,0.10,0.10,1.00
684,layee,layèe,0.83,1,0.20,0.20,1.00
685,lawet,lawét,0.83,1,0.10,0.10,1.00
686,lapeh,lapéh,0.83,1,0.20,0.20,1.00
687,lambong,lambông,0.88,1,1.00,1.00,1.00
688,lukeh,lukéh,0.83,1,0.10,0.10,1.00
689,lotre,lotré,0.83,1,0.10,0.10,1.00
690,lonte,lônté,0.71,1,0.10,0.10,1.00
691,lite,litè,0.80,1,0.10,0.10,1.00
692,linggong,linggông,0.89,1,0.40,0.40,1.00
693,likot,likôt,0.83,1,0.20,0.20,1.00
694,lhok,lhôk,0.80,1,0.50,0.50,1.00
695,Ihoh,Ihôh,0.80,2,0.40,0.40,1.00
696,Ihee,Ihèe,0.80,1,0.20,0.20,1.00
697,leungkong,leungkông,0.90,1,0.20,0.20,1.00
698,leumbeng,leumbéng,0.89,1,0.40,0.40,1.00
699,leubo,leubô,0.83,1,0.40,0.40,1.00
700,letnan,lètnan,0.86,1,0.10,0.10,1.00
701,lestrek,léstrék,0.78,1,0.10,0.10,1.00
702,leng,lông,0.80,1,0.40,0.40,1.00
703,lem,lém,0.75,1,0.30,0.30,1.00
704,le,lé,0.67,2,0.10,0.10,1.00
705,layoh,layôh,0.83,1,0.10,0.10,1.00
706,laot,laôt,0.80,1,0.20,0.20,1.00
707,langsong,langsông,0.89,1,0.50,0.50,1.00
708,langet,langèt,0.86,1,0.20,0.20,1.00
709,landok,landôk,0.86,2,0.30,0.30,1.00
710,lampoh,lampôh,0.86,1,0.30,0.30,1.00
711,lambayong,lambayông,0.90,1,0.20,0.20,1.00
712,lalorat,lalôrat,0.88,1,0.20,0.20,1.00
713,lalo,lalô,0.80,1,0.20,0.20,1.00
714,lalee,lalèe,0.83,1,0.40,0.40,1.00
715,laklem,laklém,0.86,1,0.10,0.10,1.00
716,lahe,lahèe,0.83,1,0.30,0.30,1.00
717,lagot,lagôt,0.83,1,0.20,0.20,1.00
718,lagee,lagèe,0.83,1,0.20,0.20,1.00
719,ladom,ladôm,0.83,1,0.30,0.30,1.00
720,ladem,ladôm,0.83,1,0.30,0.30,1.00
721,labo,labô,0.80,1,0.40,0.40,1.00
722,la'eh,la'èh,0.83,1,0.10,0.10,1.00
723,kutep,kutôp,0.83,1,0.20,0.20,1.00
724,kunengan,kunèngan,0.89,1,0.30,0.30,1.00
725,kuncop,kuncôp,0.86,1,0.10,0.10,1.00
726,kulet,kulét,0.83,1,0.30,0.30,1.00
727,kueh,kuéh,0.80,2,0.60,0.60,1.00
728,kude,kudé,0.80,1,0.30,0.30,1.00
729,kualitet,kualitét,0.89,1,0.10,0.10,1.00
730,etnologi,ètnologi,0.89,1,0.20,0.20,1.00
731,etimologi,ètimologi,0.90,1,0.10,0.10,1.00
732,eseutilah,èseutilah,0.90,1,0.10,0.10,1.00
733,eselon,èsèlon,0.75,1,0.10,0.10,1.00
734,enseueh,énseueh,0.88,1,0.30,0.30,1.00
735,embe,èmbè,0.67,1,0.00,0.00,0.00
736,lalem,lalém,0.83,1,0.30,0.30,1.00
737,lakee,lakèe,0.83,1,0.20,0.20,1.00
738,lahee,lahèe,0.83,1,0.10,0.10,1.00
739,laen,laén,0.80,1,0.10,0.10,1.00
740,kutop,kutôp,0.83,1,0.40,0.40,1.00
741,kurek,kurék,0.83,1,0.10,0.10,1.00
742,kupong,kupông,0.86,1,0.50,0.50,1.00
743,kukoh,kukôh,0.83,1,0.20,0.20,1.00
744,kudok,kudôk,0.83,1,0.40,0.40,1.00
745,kuarto,kuartô,0.86,1,0.10,0.10,1.00
746,krot,krôt,0.80,1,0.40,0.40,1.00
747,kronomete,kronomètè,0.82,1,0.10,0.10,1.00
748,krek,krèk,0.80,1,0.20,0.20,1.00
749,kreh,kréh,0.80,1,0.50,0.50,1.00
750,krangkeng,krangkèng,0.90,1,0.10,0.10,1.00
751,korset,korsèt,0.86,1,0.10,0.10,1.00
752,kontrasepsi,kontrasèpsi,0.92,1,0.10,0.10,1.00
753,kontingen,kontingèn,0.90,1,0.10,0.10,1.00
754,konsep,konsèp,0.86,1,0.20,0.20,1.00
755,kok,kôk,0.75,1,0.20,0.20,1.00
756,klep,klèp,0.80,1,0.10,0.10,1.00
757,kiree,kirèe,0.83,1,0.10,0.10,1.00
758,keurubet,keurubét,0.89,1,0.10,0.10,1.00
759,keureukon,keureukôn,0.90,1,0.70,0.70,1.00
760,keuphon,keuphôn,0.88,1,0.30,0.30,1.00
761,keumirem,keumirém,0.89,1,0.40,0.40,1.00
762,keumawe,keumawé,0.88,1,0.30,0.30,1.00
763,keudee,keudèe,0.86,1,0.20,0.20,1.00
764,komponen,komponèn,0.89,1,0.10,0.10,1.00
765,kom,kôm,0.75,1,0.30,0.30,1.00
766,kolonen,kolonèn,0.88,1,0.10,0.10,1.00
767,koeisien,koèisièn,0.80,1,0.10,0.10,1.00
768,kiroh,kirôh,0.83,1,0.10,0.10,1.00
769,kirem,kirém,0.83,1,0.10,0.10,1.00
770,khem,khém,0.80,1,0.10,0.10,1.00
771,keurusong,keurusông,0.90,1,0.40,0.40,1.00
772,keureuleng,keureuléng,0.91,1,1.00,1.00,1.00
773,keupong,keupông,0.88,1,1.00,1.00,1.00
774,keupeng,keupông,0.88,1,1.00,1.00,1.00
775,keunyeh,keunyèh,0.88,1,0.30,0.30,1.00
776,keundo,keundô,0.86,1,0.30,0.30,1.00
777,keulileng,keuliléng,0.90,1,0.30,0.30,1.00
778,keuleudee,keuleudèe,0.90,1,0.20,0.20,1.00
779,keulabee,keulabèe,0.89,1,0.10,0.10,1.00
780,kereta,kerèta,0.86,1,0.10,0.10,1.00
781,kemah,kèmah,0.83,1,0.10,0.10,1.00
782,keju,kèju,0.80,1,0.20,0.20,1.00
783,kayee,kayèe,0.83,1,0.10,0.10,1.00
784,kawoh,kawôh,0.83,1,0.30,0.30,1.00
785,kaset,kasèt,0.83,1,0.10,0.10,1.00
786,karonya,karônya,0.88,1,0.10,0.10,1.00
787,kareubet,kareubét,0.89,1,0.30,0.30,1.00
788,kapiten,kapitèn,0.88,1,0.10,0.10,1.00
789,kaphe,kaphô,0.83,1,0.20,0.20,1.00
790,kanto,kantô,0.83,1,0.10,0.10,1.00
791,kameng,kamèng,0.86,1,0.30,0.30,1.00
792,kadet,kadôt,0.83,1,0.20,0.20,1.00
793,kabupaten,kabupatèn,0.90,1,0.10,0.10,1.00
794,kabinet,kabinèt,0.88,1,0.10,0.10,1.00
795,kabaret,kabarèt,0.88,1,0.20,0.20,1.00
796,jujor,jujôr,0.83,1,0.10,0.10,1.00
797,jok,jôk,0.75,1,0.10,0.10,1.00
798,jilet,jilét,0.83,1,0.10,0.10,1.00
799,jeulamee,jeulamèe,0.89,1,0.20,0.20,1.00
800,eumbon,eumbôn,0.86,1,0.20,0.20,1.00
801,kense,kènsè,0.71,1,0.10,0.10,1.00
802,keker,kèkèr,0.71,1,0.10,0.10,1.00
803,keh,kèh,0.75,1,0.30,0.30,1.00
804,kayem,kayém,0.83,1,0.10,0.10,1.00
805,kawom,kawôm,0.83,1,0.10,0.10,1.00
806,kawen,kawèn,0.83,1,0.20,0.20,1.00
807,katon,katôn,0.83,1,0.30,0.30,1.00
808,kaso,kasô,0.80,1,0.20,0.20,1.00
809,kapho,kaphô,0.83,1,0.40,0.40,1.00
810,kandongan,kandôngan,0.90,1,0.30,0.30,1.00
811,kadot,kadôt,0.83,1,0.40,0.40,1.00
812,jurong,jurông,0.86,1,0.30,0.30,1.00
813,juree,jurèe,0.83,1,0.10,0.10,1.00
814,jundrong,jundrông,0.89,1,0.30,0.30,1.00
815,jho,jhô,0.75,1,0.10,0.10,1.00
816,jeuoh,jeuôh,0.83,1,0.10,0.10,1.00
817,jeunamee,jeunamèe,0.89,1,0.30,0.30,1.00
818,jeuee,jeuèe,0.83,1,0.40,0.40,1.00
819,jep,jép,0.75,1,0.10,0.10,1.00
820,jen,jén,0.75,1,0.10,0.10,1.00
821,jayeh,jayéh,0.83,1,0.10,0.10,1.00
822,jarom,jarôm,0.83,1,0.20,0.20,1.00
823,jareueng,jaréueng,0.89,1,1.00,1.00,1.00
824,jareng,jaréng,0.86,1,0.90,0.90,1.00
825,jantong,jantông,0.88,1,1.00,1.00,1.00
826,jangket,jangkét,0.88,1,0.90,0.90,1.00
827,janggot,janggôt,0.88,1,0.70,0.70,1.00
828,janeng,janéng,0.86,1,0.50,0.50,1.00
829,jamprong,jamprông,0.89,1,0.20,0.20,1.00
830,jampok,jampôk,0.86,1,0.50,0.50,1.00
831,jamoe,jamôe,0.83,1,0.30,0.30,1.00
832,jambo,jambô,0.83,1,0.10,0.10,1.00
833,jalo,jalô,0.80,1,0.10,0.10,1.00
834,jagong,jagông,0.86,1,0.50,0.50,1.00
835,ipoh,ipôh,0.80,1,0.20,0.20,1.00
836,ileh,iléh,0.80,1,0.30,0.30,1.00
837,ikot,ikôt,0.80,1,0.20,0.20,1.00
838,hukoman,hukôman,0.88,1,0.10,0.10,1.00
839,homoseks,homosèks,0.89,1,0.10,0.10,1.00
840,hoi,hôi,0.75,1,0.10,0.10,1.00
841,hidrolik,hidrôlik,0.89,1,0.10,0.10,1.00
842,helikopter,hèlikopter,0.91,1,0.10,0.10,1.00
843,hekeuta,hèkeuta,0.88,1,0.20,0.20,1.00
844,hek,hèk,0.75,1,0.10,0.10,1.00
845,harom,harôm,0.83,1,0.20,0.20,1.00
846,haroh,harôh,0.83,1,0.50,0.50,1.00
847,etnografi,ètnografi,0.90,1,0.10,0.10,1.00
848,haloh,halôh,0.83,1,0.30,0.30,1.00
849,haleh,halôh,0.83,1,0.40,0.40,1.00
850,jadeh,jadèh,0.83,1,0.10,0.10,1.00
851,jabep,jabép,0.83,1,0.10,0.10,1.00
852,itek,iték,0.80,1,0.20,0.20,1.00
853,ireh,iréh,0.80,1,0.20,0.20,1.00
854,ipok,ipôk,0.80,1,0.20,0.20,1.00
855,implensa,implènsa,0.89,1,0.10,0.10,1.00
856,ile,ilé,0.75,1,0.10,0.10,1.00
857,iklem,iklém,0.83,1,0.10,0.10,1.00
858,ijo,ijô,0.75,1,0.10,0.10,1.00
859,idong,idông,0.83,1,0.30,0.30,1.00
860,hukom,hukôm,0.83,1,0.10,0.10,1.00
861,hotel,hotèl,0.83,1,0.10,0.10,1.00
862,himbee,himbèe,0.86,1,0.10,0.10,1.00
863,hemat,hèmat,0.83,1,0.10,0.10,1.00
864,helem,hèlem,0.83,1,0.10,0.10,1.00
865,hebat,hèbat,0.83,1,0.10,0.10,1.00
866,hase,hasé,0.80,1,0.20,0.20,1.00
867,haro-hara,harô-hara,0.90,1,0.10,0.10,1.00
868,hambo,hambô,0.83,1,0.10,0.10,1.00
869,hader,hadér,0.83,1,0.10,0.10,1.00
870,esmenen,èsmènèn,0.70,1,0.10,0.10,1.00
871,gutee,gutèe,0.83,1,0.10,0.10,1.00
872,guree,gurèe,0.83,1,0.20,0.20,1.00
873,eseukrem,èseukrém,0.80,1,0.10,0.10,1.00
874,engse,èngsè,0.71,1,0.10,0.10,1.00
875,endatu,éndatu,0.86,1,0.10,0.10,1.00
876,emlak,émlak,0.83,1,0.10,0.10,1.00
877,eleumee,éleumèe,0.78,1,0.10,0.10,1.00
878,eleuham,éleuham,0.88,1,0.30,0.30,1.00
879,elektron,èlèktron,0.80,1,0.20,0.20,1.00
880,eleh,èlèh,0.67,2,0.10,0.10,1.00
881,ekspor,èkspor,0.86,1,0.10,0.10,1.00
882,eklektik,eklèktik,0.89,1,0.10,0.10,1.00
883,ek,ôk,0.67,1,0.00,0.00,0.00
884,ek,ôk,0.67,1,0.00,0.00,0.00
885,eh,éh,0.67,1,0.00,0.00,0.00
886,eh,éh,0.67,1,0.00,0.00,0.00
887,edisi,èdisi,0.83,1,0.10,0.10,1.00
888,'et,'èt,0.75,2,0.30,0.30,1.00
889,'emblem,'èmblèm,0.78,1,0.10,0.10,1.00
890,duson,dusôn,0.83,1,0.10,0.10,1.00
891,dumpet,dumpèt,0.86,1,0.50,0.50,1.00
892,gureng,guréng,0.86,1,0.30,0.30,1.00
893,gunteng,gunténg,0.88,1,1.00,1.00,1.00
894,gumbok,gumbôk,0.86,1,0.20,0.20,1.00
895,gulong,gulông,0.86,1,0.70,0.70,1.00
896,gulee,gulée,0.83,1,0.20,0.20,1.00
897,gule,gulée,0.83,1,0.20,0.20,1.00
898,gukee,gukée,0.83,1,0.20,0.20,1.00
899,gugop,gugôp,0.83,1,0.10,0.10,1.00
900,grek,grèk,0.80,1,0.20,0.20,1.00
901,gorden,gordèn,0.86,1,0.10,0.10,1.00
902,gogah,gôgah,0.83,1,0.20,0.20,1.00
903,go-go,gô-gô,0.71,2,0.20,0.20,1.00
904,glong,glông,0.83,1,0.40,0.40,1.00
905,gleh,gléh,0.80,1,0.40,0.40,1.00
906,ginseng,ginsèng,0.88,1,0.10,0.10,1.00
907,gileng,giléng,0.86,1,0.20,0.20,1.00
908,gigeh,gigèh,0.83,1,0.10,0.10,1.00
909,geureupoh,geureupôh,0.90,1,0.70,0.70,1.00
910,geuntot,geuntôt,0.88,1,0.40,0.40,1.00
911,geunteng,geunténg,0.89,1,1.00,1.00,1.00
912,geunaseh,geunaséh,0.89,1,0.30,0.30,1.00
913,geumaseh,geumaséh,0.89,1,0.20,0.20,1.00
914,geuleumbong,geuleumbông,0.92,1,0.50,0.50,1.00
915,geometris,géométris,0.82,1,0.10,0.10,1.00
916,geographis,géographis,0.91,1,0.10,0.10,1.00
917,gayep,gayép,0.83,1,0.10,0.10,1.00
918,gareh,garéh,0.83,1,0.30,0.30,1.00
919,ganje,ganjé,0.83,1,0.20,0.20,1.00
920,gandom,gandôm,0.86,1,0.10,0.10,1.00
921,gampong,gampông,0.88,1,0.70,0.70,1.00
922,gamet,gamèt,0.83,1,0.10,0.10,1.00
923,gadoh,gadôh,0.83,2,0.30,0.30,1.00
924,gabong,gabông,0.86,1,0.50,0.50,1.00
925,g'eng-g'ong,g'éng-g'ong,0.92,1,0.10,0.10,1.00
926,geuten,geutèn,0.86,1,0.70,0.70,1.00
927,geunulong,geunulông,0.90,1,0.30,0.30,1.00
928,geumadee,geumadèe,0.89,1,0.10,0.10,1.00
929,geudong,geudông,0.88,1,1.00,1.00,1.00
930,geologi,géôlôgi,0.70,1,0.10,0.10,1.00
931,geodesi,géodési,0.78,1,0.10,0.10,1.00
932,gayong,gayông,0.86,1,0.70,0.70,1.00
933,gaseng,gaséng,0.86,1,0.50,0.50,1.00
934,gaseh,gaséh,0.83,1,0.10,0.10,1.00
