No,Keyword,Expectation,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
117,tanjong,tanjông,0.88,1,1.00,1.00,1.00
118,tangkeh,tangkéh,0.88,1,1.00,1.00,1.00
119,tangke,tangké,0.86,1,0.80,0.80,1.00
120,tangilek,tangilék,0.89,1,0.10,0.10,1.00
121,tanggong,tanggông,0.89,1,0.90,0.90,1.00
122,tanggoh,tanggôh,0.88,1,1.00,1.00,1.00
123,tandeng,tandéng,0.88,1,0.80,0.80,1.00
124,tamse,tamsé,0.83,1,0.10,0.10,1.00
125,tampureh,tampuréh,0.89,1,0.10,0.10,1.00
126,tampuleng,tampuléng,0.90,1,0.10,0.10,1.00
127,tampok,tampôk,0.86,1,0.60,0.60,1.00
128,tameng,tamèng,0.86,1,0.50,0.50,1.00
129,tameh,tamèh,0.83,1,0.20,0.20,1.00
130,tambo,tambô,0.83,1,0.10,0.10,1.00
131,tamadon,tamadôn,0.88,1,0.30,0.30,1.00
132,talo,talô,0.80,1,0.20,0.20,1.00
133,takse,taksé,0.83,1,0.20,0.20,1.00
134,takot,takôt,0.83,1,0.20,0.20,1.00
135,taklok,taklôk,0.86,1,0.20,0.20,1.00
136,taklet,taklét,0.86,1,0.30,0.30,1.00
137,takjop,takjôp,0.86,1,0.10,0.10,1.00
138,tablet,tablèt,0.86,1,0.20,0.20,1.00
139,syuko,syukô,0.83,1,0.10,0.10,1.00
140,syetan,syètan,0.86,1,0.10,0.10,1.00
141,syedara,syèdara,0.88,1,0.20,0.20,1.00
142,syedaga,syèdaga,0.88,1,0.20,0.20,1.00
143,syarikoh,syarikôh,0.89,1,0.20,0.20,1.00
144,suwe,suwé,0.80,1,0.10,0.10,1.00
145,susot,susôt,0.83,1,0.10,0.10,1.00
146,suson,susôn,0.83,1,0.10,0.10,1.00
147,surot,surôt,0.83,1,0.20,0.20,1.00
148,suroh,surôh,0.83,1,0.10,0.10,1.00
149,supe,supé,0.80,1,0.10,0.10,1.00
150,sunteng,sunténg,0.88,1,0.60,0.60,1.00
151,sunggoh-sunggoh,sunggôh-sunggôh,0.88,1,0.10,0.10,1.00
152,sulotan,sulôtan,0.88,1,0.10,0.10,1.00
153,sulong,sulông,0.86,1,0.50,0.50,1.00
154,sulet,sulét,0.83,1,0.20,0.20,1.00
155,suleng,sulông,0.86,1,0.50,0.50,1.00
156,sukee,sukèe,0.83,1,0.20,0.20,1.00
157,sukarela,sukarèla,0.89,1,0.20,0.20,1.00
158,sugot,sugôt,0.83,1,0.10,0.10,1.00
159,sudep,sudép,0.83,1,0.10,0.10,1.00
160,strop,strôp,0.83,1,0.10,0.10,1.00
161,sosah,sôsah,0.83,1,0.20,0.20,1.00
162,sop,sôp,0.75,1,0.20,0.20,1.00
163,soneta,sonèta,0.86,1,0.10,0.10,1.00
164,sohsah,sôhsah,0.86,1,0.10,0.10,1.00
165,soh,sôh,0.75,2,0.20,0.20,1.00
166,skema,skèma,0.83,1,0.10,0.10,1.00
167,siribee,siribèe,0.88,1,0.10,0.10,1.00
168,sereutoh,sereutôh,0.89,1,0.20,0.20,1.00
169,sirep,sirép,0.83,1,0.20,0.20,1.00
170,sirene,sirènè,0.75,1,0.10,0.10,1.00
171,sipre,sipré,0.83,1,0.10,0.10,1.00
172,sipot,sipôt,0.83,1,0.20,0.20,1.00
173,siploh,siplôh,0.86,1,0.10,0.10,1.00
174,singkee,singkèe,0.88,1,0.60,0.60,1.00
175,singet,singèt,0.86,1,0.10,0.10,1.00
176,sinde,sindé,0.83,1,0.10,0.10,1.00
177,simeureulet,simeureulét,0.92,1,0.10,0.10,1.00
178,silophon,silophôn,0.89,1,0.10,0.10,1.00
179,sikureuengploh,sikureuengplôh,0.93,1,0.30,0.30,1.00
180,sikrop,sikrôp,0.86,1,0.10,0.10,1.00
181,siklep-siklap,siklép-siklap,0.93,1,0.10,0.10,1.00
182,sijudo,sijudô,0.86,1,0.10,0.10,1.00
183,sibandeng,sibandéng,0.90,1,0.30,0.30,1.00
184,seurene,seurenè,0.88,1,0.40,0.40,1.00
185,seurumpet,seurumpét,0.90,1,0.20,0.20,1.00
186,seureleng,seureléng,0.90,1,0.60,0.60,1.00
187,seureulong,seureulông,0.91,1,1.00,1.00,1.00
188,seurabee,seurabèe,0.89,1,0.20,0.20,1.00
189,seupot,seupôt,0.86,1,0.60,0.60,1.00
190,seupoh,seupôh,0.86,1,0.70,0.70,1.00
191,seupet,seupôt,0.86,1,0.60,0.60,1.00
192,seunuson,seunusôn,0.89,1,0.20,0.20,1.00
193,seunungkee,seunungkèe,0.91,1,0.30,0.30,1.00
194,seunte,seunté,0.86,1,0.40,0.40,1.00
195,seuneuron,seuneurôn,0.90,1,0.60,0.60,1.00
196,seuneupet,seuneupét,0.90,1,0.50,0.50,1.00
