Keyword,Expected,Algorithm Accuracy Result,Priority Number,Average Precision,Precision,Recall
seurabee,ceurapèe,0.67,4,0.00,0.00,0.00
seupot,seupôh,0.71,5,0.00,0.00,0.00
seupoh,seudéh,0.71,7,0.00,0.00,0.00
seupet,seupôh,0.71,5,0.00,0.00,0.00
seunuson,peususôn,0.67,5,0.00,0.00,0.00
seunungkee,seulangkôt,0.64,4,1.00,0.10,0.10
seunte,teuntèe,0.75,2,0.00,0.00,0.00
seuneuron,seuneulhông,0.67,10,1.00,0.10,0.10
seuneupet,peuseupôt,0.70,5,1.00,0.10,0.10
seuneulhong,seumeulhôh,0.64,9,1.00,0.10,0.10
seunareng,ceundrông,0.70,7,1.00,0.10,0.10
seunambong,peulampông,0.64,10,1.00,0.10,0.10
seunalop,seunalèn,0.78,2,0.00,0.00,0.00
seunalen,seunambông,0.64,6,0.00,0.00,0.00
seumulet,seumpét,0.62,9,0.00,0.00,0.00
seumporna,seumpét,0.56,8,1.00,0.10,0.10
seumpet,seurumpét,0.70,10,0.00,0.00,0.00
seumike,seumaté,0.62,8,0.00,0.00,0.00
seumeulhoh,seureulông,0.64,7,1.00,0.10,0.10
seumen,seumbô,0.71,4,0.00,0.00,0.00
seumbo,teumbôn,0.62,9,0.00,0.00,0.00
seumateh,geumaséh,0.67,6,0.00,0.00,0.00
seumate,geumadèe,0.67,10,0.00,0.00,0.00
seuliseh,seulimèng,0.60,10,0.00,0.00,0.00
seulimeng,keuliléng,0.70,2,1.00,0.10,0.10
seulidek,seuliséh,0.67,2,0.00,0.00,0.00
seulangkot,meujanggôt,0.64,10,1.00,0.10,0.10
seudeh,peudéh,0.71,3,0.00,0.00,0.00
seubaroh,meutarôh,0.67,6,0.00,0.00,0.00
seubaro,meusaré,0.62,9,0.00,0.00,0.00
sep,tôp,0.50,10,0.00,0.00,0.00
sente,menteuôt,0.56,10,0.00,0.00,0.00
seng,sanè,0.60,10,0.00,0.00,0.00
sel,salôp,0.50,10,0.00,0.00,0.00
seksa,èseukrém,0.50,10,0.00,0.00,0.00
sege,sugôt,0.50,10,0.00,0.00,0.00
sayen,sabôn,0.67,5,0.00,0.00,0.00
sawo,sabé,0.60,10,0.00,0.00,0.00
sate,sanè,0.60,9,0.00,0.00,0.00
sarong,jaréng,0.71,6,0.00,0.00,0.00
sareng,jaréng,0.71,6,0.00,0.00,0.00
sare,sanè,0.60,9,0.00,0.00,0.00
santon,pantôn,0.71,4,0.00,0.00,0.00
sanjong,ranténg,0.62,10,0.00,0.00,0.00
sanggop,panggôi,0.62,10,0.00,0.00,0.00
sanggoi,panggôi,0.75,3,0.00,0.00,0.00
sane,sabé,0.60,10,0.00,0.00,0.00
sandewara,syèdara,0.56,7,1.00,0.10,0.10
samporeuna,seumpôrna,0.50,9,1.00,0.10,0.10
sampoh,lampôh,0.71,3,0.00,0.00,0.00
saloran,lalôrat,0.62,6,0.00,0.00,0.00
salop,èsèlon,0.62,9,0.00,0.00,0.00
salen,sabôn,0.67,10,0.00,0.00,0.00
saleh,halôh,0.67,10,0.00,0.00,0.00
salee,sagèe,0.67,10,0.00,0.00,0.00
saket,pakèt,0.67,5,0.00,0.00,0.00
sagop,sanggôp,0.62,5,0.00,0.00,0.00
sagee,cagée,0.67,9,0.00,0.00,0.00
saengan,kandôngan,0.60,8,0.00,0.00,0.00
sabong,sabôn,0.67,10,0.00,0.00,0.00
sabon,èsèlon,0.62,9,0.00,0.00,0.00
sabe,sanè,0.60,10,0.00,0.00,0.00
s'en,seurenè,0.50,10,0.00,0.00,0.00
rusok,rusôk,0.83,1,0.00,0.00,0.00
runtoh,rèktor,0.57,8,0.00,0.00,0.00
rumpet,tumpôi,0.57,10,0.00,0.00,0.00
rumeh,runtôh,0.57,10,0.00,0.00,0.00
rumbee,gumbôk,0.57,10,0.00,0.00,0.00
rujee,rumbèe,0.57,9,0.00,0.00,0.00
roket,takôt,0.50,10,0.00,0.00,0.00
roh,rôh,0.75,1,0.00,0.00,0.00
ro,rokèt,0.50,8,0.00,0.00,0.00
rioh,tikôh,0.50,10,0.00,0.00,0.00
