Keyword,Expected,Algorithm Accuracy Result,Priority Number,Average Precision,Precision,Recall
caboi,cabôi,0.83,1,0.00,0.00,0.00
coh,côh,0.75,2,1.00,0.10,0.10
cilet,cirét,0.67,6,0.00,0.00,0.00
chen,côn,0.50,9,0.00,0.00,0.00
ceureumen,keureukôn,0.70,9,1.00,0.10,0.10
ceureulong,ceureumèn,0.70,10,1.00,0.10,0.10
ceurapee,peurisèe,0.56,10,0.00,0.00,0.00
ceunulek,teunumpôk,0.60,10,0.00,0.00,0.00
ceundrong,jundrông,0.67,10,1.00,0.10,0.10
ceulop,teulôk,0.57,10,0.00,0.00,0.00
ceukong,ceukông,0.88,1,0.00,0.00,0.00
ceuken,ceukông,0.75,2,0.00,0.00,0.00
cet,mètè,0.50,10,0.00,0.00,0.00
MAP Results:,,,,0.15
MAP Percentage Accuracy:,,,,14.6%
