Keyword,Expected,Algorithm Accuracy Result,Priority Number,Recommendation Accuracy Result
letnan,lètnan,0.83,1,1.00
lestrek,léstrék,0.71,1,1.00
leng,léng,0.75,2,0.90
lem,lém,0.67,9,0.20
le,lé,0.50,5,0.60
layoh,layôh,0.80,1,1.00
laot,laôt,0.75,1,1.00
langsong,langsông,0.88,1,1.00
langet,langèt,0.83,1,1.00
landok,landôk,0.83,2,0.90
lampoh,lampôh,0.83,1,1.00
lambayong,lambayông,0.89,1,1.00
lalorat,lalôrat,0.86,1,1.00
lalo,lalô,0.75,2,0.90
lalee,lalèe,0.80,4,0.70
laklem,laklém,0.83,1,1.00
lahe,lahèe,0.75,1,1.00
lagot,lagôt,0.80,1,1.00
lagee,lagèe,0.80,1,1.00
ladom,ladôm,0.80,1,1.00
ladem,ladém,0.80,1,1.00
labo,labô,0.75,1,1.00
la'eh,la'èh,0.80,1,1.00
kutep,kutép,0.80,1,1.00
kunengan,kunèngan,0.88,1,1.00
kuncop,kuncôp,0.83,1,1.00
kulet,kulét,0.80,1,1.00
kueh,kuéh,0.75,3,0.80
kude,kudé,0.75,2,0.90
kualitet,kualitét,0.88,1,1.00
etnologi,ètnologi,0.88,1,1.00
etimologi,ètimologi,0.89,1,1.00
eseutilah,èseutilah,0.89,1,1.00
eselon,èsèlon,0.67,2,0.90
enseueh,énseueh,0.86,2,0.90
embe,mèe,0.50,5,0.60
lalem,lalém,0.80,2,0.90
lakee,lakèe,0.80,2,0.90
lahee,lahèe,0.80,1,1.00
laen,laén,0.75,1,1.00
kutop,kutép,0.80,1,1.00
kurek,kurék,0.80,1,1.00
kupong,kupông,0.83,1,1.00
kukoh,kukôh,0.80,2,0.90
kudok,kudôk,0.80,1,1.00
kuarto,kuartô,0.83,1,1.00
krot,krôt,0.75,4,0.70
kronomete,kronomètè,0.78,1,1.00
krek,krèk,0.75,1,1.00
kreh,kréh,0.75,1,1.00
krangkeng,krangkèng,0.89,1,1.00
korset,korsèt,0.83,1,1.00
kontrasepsi,kontrasèpsi,0.91,1,1.00
kontingen,kontingèn,0.89,1,1.00
konsep,konsèp,0.83,2,0.90
kok,kôk,0.67,5,0.60
klep,klèp,0.75,1,1.00
kiree,kirèe,0.80,1,1.00
keurubet,keurubét,0.88,1,1.00
keureukon,keureukôn,0.89,1,1.00
keuphon,keuphôn,0.86,1,1.00
keumirem,keumirém,0.88,1,1.00
keumawe,keumawé,0.86,1,1.00
keudee,keudèe,0.83,1,1.00
komponen,komponèn,0.88,1,1.00
kom,kôm,0.67,2,0.90
kolonen,kolonèn,0.86,1,1.00
koeisien,koèisièn,0.75,1,1.00
kiroh,kirôh,0.80,1,1.00
kirem,kirém,0.80,1,1.00
khem,khém,0.75,1,1.00
keurusong,keurusông,0.89,1,1.00
keureuleng,keureuléng,0.90,1,1.00
keupong,keupông,0.86,1,1.00
keupeng,keupéng,0.86,2,0.90
keunyeh,keunyèh,0.86,1,1.00
keundo,keundô,0.83,1,1.00
keulileng,keuliléng,0.89,1,1.00
keuleudee,keuleudèe,0.89,1,1.00
keulabee,keulabèe,0.88,1,1.00
kereta,kerèta,0.83,1,1.00
kemah,kèmah,0.80,1,1.00
keju,kèju,0.75,1,1.00
kayee,kayèe,0.80,1,1.00
kawoh,kawôh,0.80,2,0.90
kaset,kasèt,0.80,1,1.00
karonya,karônya,0.86,1,1.00
kareubet,kareubét,0.88,1,1.00
kapiten,kapitèn,0.86,1,1.00
kaphe,kaphé,0.80,1,1.00
kanto,kantô,0.80,1,1.00
kameng,kamèng,0.83,2,0.90
kadet,kadèt,0.80,1,1.00
kabupaten,kabupatèn,0.89,1,1.00
kabinet,kabinèt,0.86,1,1.00
kabaret,kabarèt,0.86,1,1.00
jujor,jujôr,0.80,1,1.00
jok,jôk,0.67,5,0.60
jilet,jilét,0.80,1,1.00
jeulamee,jeulamèe,0.88,1,1.00
eumbon,eumbôn,0.83,1,1.00
kense,kènsè,0.60,4,0.70
keker,kèkèr,0.60,2,0.90
keh,kèh,0.67,2,0.90
kayem,kayém,0.80,1,1.00
kawom,kawôm,0.80,1,1.00
kawen,kawèn,0.80,1,1.00
katon,katôn,0.80,3,0.80
kaso,kasô,0.75,2,0.90
kapho,kaphé,0.80,2,0.90
kandongan,kandôngan,0.89,1,1.00
kadot,kadèt,0.80,1,1.00
jurong,jurông,0.83,1,1.00
juree,jurèe,0.80,1,1.00
jundrong,jundrông,0.88,1,1.00
jho,jhô,0.67,3,0.80
jeuoh,jeuôh,0.80,1,1.00
jeunamee,jeunamèe,0.88,1,1.00
jeuee,jeuèe,0.80,2,0.90
jep,jép,0.67,3,0.80
jen,jén,0.67,1,1.00
jayeh,jayéh,0.80,1,1.00
jarom,jarôm,0.80,1,1.00
jareueng,jaréueng,0.88,1,1.00
jareng,jaréng,0.83,2,0.90
jantong,jantông,0.86,1,1.00
jangket,jangkét,0.86,1,1.00
janggot,janggôt,0.86,1,1.00
janeng,janéng,0.83,2,0.90
jamprong,jamprông,0.88,1,1.00
jampok,jampôk,0.83,3,0.80
jamoe,jamôe,0.80,2,0.90
jambo,jambô,0.80,1,1.00
jalo,jalô,0.75,1,1.00
jagong,jagông,0.83,2,0.90
ipoh,ipôh,0.75,2,0.90
ileh,iléh,0.75,1,1.00
ikot,ikôt,0.75,2,0.90
hukoman,hukôman,0.86,1,1.00
homoseks,homosèks,0.88,1,1.00
hoi,hôi,0.67,3,0.80
hidrolik,hidrôlik,0.88,1,1.00
helikopter,hèlikopter,0.90,1,1.00
hekeuta,hèkeuta,0.86,1,1.00
hek,hèk,0.67,3,0.80
harom,harôm,0.80,2,0.90
haroh,harôh,0.80,3,0.80
etnografi,ètnografi,0.89,1,1.00
haloh,halôh,0.80,1,1.00
haleh,haléh,0.80,1,1.00
jadeh,jadèh,0.80,1,1.00
jabep,jabép,0.80,1,1.00
itek,iték,0.75,1,1.00
ireh,iréh,0.75,1,1.00
ipok,ipôk,0.75,1,1.00
implensa,implènsa,0.88,1,1.00
ile,ilé,0.67,1,1.00
iklem,iklém,0.80,1,1.00
ijo,ijô,0.67,2,0.90
idong,idông,0.80,3,0.80
hukom,hukôm,0.80,1,1.00
hotel,hotèl,0.80,1,1.00
himbee,himbèe,0.83,1,1.00
hemat,hèmat,0.80,1,1.00
helem,hèlem,0.80,1,1.00
hebat,hèbat,0.80,1,1.00
hase,hasé,0.75,1,1.00
haro-hara,harô-hara,0.89,1,1.00
hambo,hambô,0.80,1,1.00
hader,hadér,0.80,1,1.00
esmenen,èsmènèn,0.57,3,0.80
gutee,gutèe,0.80,1,1.00
guree,gurèe,0.80,2,0.90
eseukrem,èseukrém,0.75,1,1.00
engse,èngsè,0.60,2,0.90
endatu,éndatu,0.83,1,1.00
emlak,émlak,0.80,1,1.00
eleumee,éleumèe,0.71,1,1.00
eleuham,éleuham,0.86,1,1.00
elektron,èlèktron,0.75,2,0.90
eleh,gléh,0.50,2,0.90
ekspor,èkspor,0.83,1,1.00
eklektik,eklèktik,0.88,1,1.00
ek,èk,0.50,2,0.90
ek,èk,0.50,2,0.90
eh,èh,0.50,2,0.90
eh,èh,0.50,2,0.90
edisi,èdisi,0.80,1,1.00
'et,'èt,0.67,4,0.70
'emblem,'èmblèm,0.71,1,1.00
duson,dusôn,0.80,1,1.00
dumpet,dumpèt,0.83,2,0.90
gureng,guréng,0.83,1,1.00
gunteng,gunténg,0.86,1,1.00
gumbok,gumbôk,0.83,1,1.00
gulong,gulông,0.83,2,0.90
gulee,gulée,0.80,1,1.00
gule,gulée,0.75,1,1.00
gukee,gukée,0.80,1,1.00
gugop,gugôp,0.80,1,1.00
grek,grèk,0.75,2,0.90
gorden,gordèn,0.83,1,1.00
gogah,gôgah,0.80,1,1.00
go-go,gô-gô,0.60,2,0.90
glong,glông,0.80,2,0.90
gleh,gléh,0.75,4,0.70
ginseng,ginsèng,0.86,1,1.00
gileng,giléng,0.83,1,1.00
gigeh,gigèh,0.80,1,1.00
geureupoh,geureupôh,0.89,1,1.00
geuntot,geuntôt,0.86,2,0.90
geunteng,geunténg,0.88,1,1.00
geunaseh,geunaséh,0.88,1,1.00
geumaseh,geumaséh,0.88,1,1.00
geuleumbong,geuleumbông,0.91,1,1.00
geometris,géométris,0.78,1,1.00
geographis,géographis,0.90,1,1.00
gayep,gayép,0.80,1,1.00
gareh,garéh,0.80,3,0.80
ganje,ganjé,0.80,1,1.00
gandom,gandôm,0.83,1,1.00
gampong,gampông,0.86,2,0.90
gamet,gamèt,0.80,1,1.00
gadoh,gadôh,0.80,2,0.90
gabong,gabông,0.83,1,1.00
g'eng-g'ong,g'éng-g'ong,0.91,1,1.00
geuten,geutèn,0.83,1,1.00
geunulong,geunulông,0.89,1,1.00
geumadee,geumadèe,0.88,1,1.00
geudong,geudông,0.86,2,0.90
geologi,géôlôgi,0.57,1,1.00
geodesi,géodési,0.71,1,1.00
gayong,gayông,0.83,1,1.00
gaseng,gaséng,0.83,2,0.90
gaseh,gaséh,0.80,1,1.00
garo,garô,0.75,3,0.80
gaon,gaôn,0.75,1,1.00
gamlomlam,gamlômlam,0.89,1,1.00
gambe,gambé,0.80,1,1.00
gadeng,gadéng,0.83,1,1.00
gaboh,gabôh,0.80,3,0.80
euntong,euntông,0.86,1,1.00
eungkot,eungkôt,0.86,2,0.90
duane,duanè,0.80,1,1.00
dompet,dompèt,0.83,1,1.00
do'a,dô'a,0.75,1,1.00
dhoi,dhôi,0.75,2,0.90
deumpoi,deumpôi,0.86,1,1.00
desya,dèsya,0.80,1,1.00
Desember,Desèmbèr,0.75,1,1.00
denden,déndén,0.67,1,1.00
dayong,dayông,0.83,1,1.00
damee,damée,0.80,1,1.00
cungke,cungké,0.83,1,1.00
cumbong,cumbông,0.86,1,1.00
culek,culék,0.80,1,1.00
donya,dônya,0.80,1,1.00
disket,diskèt,0.83,1,1.00
dhot,dhôt,0.75,1,1.00
deutek,deutèk,0.83,1,1.00
derek,dèrèk,0.60,2,0.90
dek,dèk,0.67,2,0.90
debet,debèt,0.80,1,1.00
darohaka,darôhaka,0.88,1,1.00
dalong,dalông,0.83,1,1.00
cungkeh,cungkèh,0.86,1,1.00
cumeh,cumèh,0.80,1,1.00
cuko,cukô,0.75,1,1.00
cukeh,cukèh,0.80,1,1.00
cukee,cukèe,0.80,2,0.90
croh,crôh,0.75,6,0.50
cre-bre,cré-bré,0.71,1,1.00
cre,cré,0.67,2,0.90
cr'ek,cr'èk,0.80,1,1.00
con,côn,0.67,5,0.60
ciret,cirét,0.80,1,1.00
cicem,cicém,0.80,1,1.00
ceureudek,ceureudék,0.89,1,1.00
ceumarot,ceumarôt,0.88,1,1.00
cetak,cètak,0.80,2,0.90
ceng,céng,0.75,3,0.80
cedaga,cèdaga,0.83,1,1.00
catetan,catètan,0.86,1,1.00
cangkoi,cangkôi,0.86,2,0.90
canden,candén,0.83,1,1.00
calam-malom,calam-malôm,0.91,1,1.00
cagee,cagée,0.80,1,1.00
cae,caé,0.67,6,0.50
caboi,cabôi,0.80,2,0.90
coh,côh,0.67,4,0.70
cilet,cilèt,0.80,1,1.00
chen,chèn,0.75,1,1.00
ceureumen,ceureumèn,0.89,1,1.00
ceureulong,ceureulông,0.90,1,1.00
ceurapee,ceurapèe,0.88,1,1.00
ceunulek,ceunulék,0.88,1,1.00
ceundrong,ceundrông,0.89,1,1.00
ceulop,ceulôp,0.83,1,1.00
ceukong,ceukông,0.86,4,0.70
ceuken,ceukén,0.83,1,1.00
cet,cèt,0.67,2,0.90
Total Accuracy Results:,,816.33,,958.80
Total Percentage Accuracy:,,81.6%,,95.9%
