No,Keyword,Expectation,Algorithm Accuracy Result,Priority Number,Average Precision
213,seulidek,seulidék,0.96,1,1.00
214,seulangkot,seulangkôt,0.97,2,1.00
215,seudeh,seudéh,0.93,2,1.00
216,seubaroh,seubarôh,0.96,1,1.00
217,seubaro,seubarô,0.95,1,1.00
218,sep,seupôt,0.87,1,0.00
219,sente,seuneupét,0.80,7,0.00
220,seng,sèng,0.85,10,1.00
221,sel,seunalôp,0.83,4,0.00
222,seksa,séksa,0.88,1,0.00
223,sege,sègè,0.00,0,0.00
224,sayen,sayén,0.91,1,1.00
225,sawo,sawô,0.88,1,0.00
226,sate,saté,0.88,4,1.00
227,sarong,sarông,0.92,2,1.00
228,sareng,sarông,0.92,2,1.00
229,sare,saré,0.88,4,1.00
230,santon,santôn,0.93,1,1.00
231,sanjong,sanjông,0.94,1,1.00
232,sanggop,sanggôp,0.95,1,1.00
233,sanggoi,sanggôi,0.95,1,1.00
234,sane,sanè,0.88,2,1.00
235,sandewara,sandéwara,0.96,1,1.00
236,samporeuna,sampôreuna,0.96,1,1.00
237,sampoh,sampôh,0.93,3,1.00
238,saloran,salôran,0.93,2,1.00
239,salop,salôp,0.91,2,1.00
240,salen,salén,0.91,4,1.00
241,saleh,salèh,0.91,3,1.00
242,salee,salèe,0.91,5,1.00
243,saket,sakét,0.91,1,1.00
244,sagop,sagôp,0.91,2,1.00
245,sagee,sagèe,0.91,1,1.00
246,saengan,saéngan,0.92,2,1.00
247,sabong,sabông,0.92,2,1.00
248,sabon,sabôn,0.91,2,1.00
249,sabe,sabé,0.88,3,1.00
250,s'en,s'èn,0.87,1,0.00
251,rusok,rusôk,0.91,1,1.00
252,runtoh,runtôh,0.93,1,1.00
253,rumpet,rumpét,0.93,1,1.00
254,rumeh,rumèh,0.91,1,1.00
255,rumbee,rumbèe,0.93,2,1.00
256,rujee,rujèe,0.91,1,1.00
257,roket,rokèt,0.91,1,1.00
258,roh,rôh,0.80,10,1.00
259,ro,rokèt,0.84,6,1.00
260,rioh,riôh,0.87,2,0.00
261,rincong,rincông,0.94,1,1.00
262,rhot,rhôt,0.87,5,1.00
263,rhoi,rhôi,0.87,3,0.00
264,rhem,rhém,0.87,1,0.00
265,reutek,reuték,0.93,2,1.00
266,reuruntoh,reuruntôh,0.96,1,1.00
267,reuoh,reuôh,0.91,2,1.00
268,reuncong,reuncông,0.96,2,1.00
269,reudok,reudôk,0.93,2,1.00
270,reubot,reubôt,0.93,1,1.00
271,reubong,reubông,0.94,2,1.00
272,reuboh,reubôh,0.93,1,1.00
273,resimen,resimèn,0.95,1,1.00
274,resep,resèp,0.91,1,1.00
275,rektor,rèktor,0.90,2,1.00
276,rekening,rèkening,0.92,1,1.00
277,reflektor,réflèktor,0.87,2,0.00
278,meusulet,meusulét,0.96,1,1.00
279,rawot,rawôt,0.91,1,1.00
280,raong,raông,0.89,3,1.00
281,ranteng,ranténg,0.94,1,1.00
282,rante,ranté,0.92,1,1.00
283,ransom,ransôm,0.93,1,1.00
284,rangkoi,rangkôi,0.95,1,1.00
285,ranggong,ranggông,0.96,1,1.00
286,rampeng,rampéng,0.94,1,1.00
287,raminet,raminèt,0.95,1,1.00
288,rambong,rambông,0.94,2,1.00
289,rambee,rambèe,0.93,1,1.00
290,raket,rakét,0.91,1,1.00
291,raket,rakét,0.91,1,1.00
292,radio,radiô,0.92,4,1.00
293,racon,racôn,0.91,1,1.00
294,puwet,puwét,0.91,1,1.00
295,puweh,puwèh,0.91,2,1.00
296,puwajeb,puwajéb,0.95,1,1.00
297,putoh-putoh,putôh-putôh,0.92,1,1.00
298,putoh,putôh,0.91,1,1.00
299,puteng,puténg,0.92,2,1.00
300,puteh,putôh,0.91,2,1.00
301,pureh,puréh,0.91,2,1.00
302,puree,purèe,0.91,3,1.00
303,puputoh,puputôh,0.95,1,1.00
304,puputeh,puputôh,0.95,1,1.00
305,pupuleh,pupuléh,0.95,1,1.00
306,pupiyoh,pupiyôh,0.95,1,1.00
307,puphon,puphôn,0.93,1,1.00
308,pupansion,pupansiôn,0.96,1,1.00
309,puntong,puntông,0.94,1,1.00
310,punggong,punggông,0.96,1,1.00
311,punggok,punggôk,0.95,1,1.00
312,pumungken,pumungkén,0.96,1,1.00
313,pumeungkleh,pumeungklèh,0.97,1,1.00
314,pumeulek,pumeulèk,0.96,1,1.00
315,pumeukleh,pumeuklèh,0.96,1,1.00
316,pumerdeka,pumerdèka,0.96,1,1.00
